SKN,Station.Name,Observer,Network,Island,ELEV.m.,LAT,LON,NCEI.id,NWS.id,NESDIS.id,SCAN.id,SMART_NODE_RF.id
1,Kalae,USCG,STATE,BI,11,18.91617582,-155.6749942,NA,NA,NA,NA,NA
1.1,Morse Field,US AIR FORCE,STATE,BI,12,18.91367961,-155.6805497,NA,NA,NA,NA,NA
1.2,Kalae S Trk Sta,SPACE TECH LAB,STATE,BI,93,18.93866881,-155.680549,NA,NA,NA,NA,NA
2,MANUKA 2,STATE DIV OF FTRY,COOP,BI,534,19.10866032,-155.8255447,USC00516134,NA,NA,NA,NA
2.1,KAHUKU MAUKA,COOP,COOP,BI,957,19.1089,-155.7467,USC00512566,NA,NA,NA,NA
2.11,Bottom 1916 Flow,HOLUALOA RANCH,STATE,BI,845,19.22310147,-155.7952647,NA,NA,NA,NA,NA
2.12,Top Terr Boy,HOLUALOA RANCH,STATE,BI,1046,19.18588011,-155.8222097,NA,NA,NA,NA,NA
2.13,100 Acres,PUUWAAWAA RANCH,STATE,BI,1280,19.1961578,-155.8035985,NA,NA,NA,NA,NA
2.14,Kapua Mauka,HOLUALOA RANCH,STATE,BI,1409,19.18532491,-155.7888767,NA,NA,NA,NA,NA
2.15,Pa Hanalei Pen,HOLUALOA RANCH,STATE,BI,1220,19.2036575,-155.813876,NA,NA,NA,NA,NA
2.16,Castle Padd Tank,HOLUALOA RANCH,STATE,BI,1540,19.21365726,-155.7888761,NA,NA,NA,NA,NA
2.17,Okoe,PUUWAAWAA RANCH,STATE,BI,485,19.16699076,-155.8652659,NA,NA,NA,NA,NA
2.18,Kole Pen,PUUWAAWAA RANCH,STATE,BI,280,19.13865819,-155.875544,NA,NA,NA,NA,NA
2.2,Kahuku Shed 3,KAHUKU RANCH,STATE,BI,1491,19.16474,-155.68228,NA,NA,NA,NA,NA
2.22,Furlka,PUUWAAWAA RANCH,STATE,BI,976,19.18199125,-155.8255431,NA,NA,NA,NA,NA
2.23,Bill Jack,HOLUALOA RANCH,STATE,BI,628,19.18199061,-155.8505432,NA,NA,NA,NA,NA
2.24,Kau,WINFORD GARDENS,STATE,BI,720,19.10866081,-155.7958228,NA,NA,NA,NA,NA
2.25,Reservoir (2940),PUUWAAWAA RANCH,STATE,BI,896,19.16060318,-155.8224882,NA,NA,NA,NA,NA
2.26,Castle,PUUWAAWAA RANCH,STATE,BI,1732,19.22532337,-155.7788762,NA,NA,NA,NA,NA
2.3,Hoopuloa Upper,DOMKOWICZ RYS,STATE,BI,739,19.21032328,-155.8522094,NA,NA,NA,NA,NA
2.31,South Kona,MRS C CARLSON,STATE,BI,808,19.09699465,-155.7497122,NA,NA,NA,NA,NA
2.32,SOUTH KONA 2 2.32,COOP,COOP,BI,647,19.10778,-155.78944,USC00518652,NA,NA,NA,NA
2.34,MILOLII 2.34,COOP,COOP,BI,280,19.186302,-155.886763,USC00516304,NA,NA,NA,NA
2.35,HONOMALINO 2.35,COOP,COOP,BI,610,19.201,-155.843,USC00511922,NA,NA,NA,NA
2.36,KAPUA 2.36,COOP,COOP,BI,533,19.14472,-155.84944,USC00513376,NA,NA,NA,NA
2.4,Hoopuloa Lower,EDWARDS EH,STATE,BI,503,19.19698981,-155.8688765,NA,NA,NA,NA,NA
2.7,Kahuku Plant,ARNEMANN WHG,STATE,BI,732,19.23587837,-155.8585982,NA,NA,NA,NA,NA
2.8,Top Coffee Papa,HOLUALOA RANCH,STATE,BI,625,19.19532346,-155.855543,NA,NA,NA,NA,NA
2.9,Kapulepu,HOLUALOA RANCH,STATE,BI,579,19.18199051,-155.8555432,,NA ,NA,NA ,NA
3,South Pt Corral,PARKER RANCH,STATE,BI,122,18.94700043,-155.6799932,NA,NA,NA,NA,NA
3.1,Kahuku 2 Makai,KAHUKU RANCH,STATE,BI,1311,19.13838146,-155.6986016,NA,NA,NA,NA,NA
3.11,MAUKA RESERVOIR 3.11,COOP,COOP,BI,1521,19.1618,-155.6695,USC00516144,NA,NA,NA,NA
3.2,Kahuku Shed I,KAHUKU RANCH,STATE,BI,1067,19.11421567,-155.6972128,NA,NA,NA,NA,NA
3.22,HAWAIIAN OCEAN VIEW 4.7 NNE,HAWAIIAN OCEAN VIEW 4.7 NNE,CoCoRaHS,BI,1273,19.135,-155.747,US1HIHI0035,NA,NA,NA,NA
3.23,CAPTAIN COOK 2.9 SSE,CAPTAIN COOK 2.9 SSE,CoCoRaHS,BI,238,19.4594,-155.8938,US1HIHI0019,NA,NA,NA,NA
3.3,Kealakoa,KAHUKU RANCH,STATE,BI,945,19.11504791,-155.6330485,NA,NA,NA,NA,NA
3.4,Kahiawai,SMITH RUSSELL,STATE,BI,1128,19.12754937,-155.7577673,NA,NA,NA,NA,NA
3.5,Glover,KAHUKU RANCH,STATE,BI,1207,19.12782672,-155.7180456,NA,NA,NA,NA,NA
3.6,Manuwai Nui,KAHUKU RANCH,STATE,BI,1146,19.12310389,-155.6766578,NA,NA,NA,NA,NA
3.8,Kahiawai Mauka,SMITH R,STATE,BI,1256,19.13227142,-155.759156,NA,NA,NA,NA,NA
3.9,LOWER KAHUKU CS,LOWER KAHUKU CS,RAWS,BI,953.7192,19.10083333,-155.6697222,NA,LKHH1,32D620C2,NA,NA
4,Kamaoa,KAWAIHAE RANCH,STATE,BI,326,19.0042156,-155.6638817,NA,NA,NA,NA,NA
4.1,Kahuku Rch Hse,KAHUKU RANCH,STATE,BI,610,19.05532714,-155.6922135,NA,NA,NA,NA,NA
4.11,Kamaoa,KAWAIHAE RANCH,STATE,BI,327,19.04143649,-155.6277712,NA,NA,NA,NA,NA
4.12,NAALEHU 4.6 WSW,NAALEHU 4.6 WSW,CoCoRaHS,BI,391,19.0424,-155.6354,US1HIHI0001,NA,NA,NA,NA
4.13,NAALEHU 5.0 WSW,NAALEHU 5.0 WSW,CoCoRaHS,BI,436,19.0424,-155.643,US1HIHI0010,NA,NA,NA,NA
4.14,"NAALEHU 4.7 WSW, HI US",CoCoRaHs,CoCoRaHs,BI,393.18,19.0421,-155.6371,US1HIHI0057,NA,NA,NA,NA
4.15,SOUTH POINT NEAR NAALEHU 12SSW,NWS,STATE,BI,295.78,18.9928,-155.668,NA,SOPH1,B1507246,NA,NA
4.2,Keaa Homesteads,BARTELS MRS F,STATE,BI,512,19.04365913,-155.6588813,NA,NA,NA,NA,NA
4.3,Kaalualu Bay,HUTCHINSON SUGAR,STATE,BI,6,18.97033138,-155.6138838,NA,NA,NA,NA,NA
4.6,George Peck,KAHUKU RANCH,STATE,BI,312,18.99893763,-155.657493,NA,NA,NA,NA,NA
4.9,Kaalualu,HAWN RANCH,STATE,BI,5,18.93777778,-155.6458333,NA,NA,NA,NA,NA
5,KAHUKU MAUKA 2.10,PARKER RANCH,STATE,BI,419,19.02532608,-155.6672146,NA,NA,NA,NA,NA
5.1,Kamaoa Puueo 5.1,COOP,COOP,BI,317,19.01361,-155.66194,USC00513054,NA,NA,NA,NA
6,KIOLAKAA A&F 6,STATE DIV FTRY,COOP,BI,587,19.07032619,-155.6355484,USC00514625,NA,NA,NA,NA
6.1,Kau-Hayselden,HAYSELDEN WH,STATE,BI,564,19.07532634,-155.6222157,NA,NA,NA,NA,NA
6.2,NAALEHU 5.7 W,NAALEHU 5.7 W,CoCoRaHS,BI,679,19.0732,-155.6632,US1HIHI0012,NA,NA,NA,NA
6.3,KAHUKU MILL CAMP 6.3,COOP,COOP,BI,668,19.0654,-155.6781,USC00512568,NA,NA,NA,NA
7,Kiolakaa-Hayseld,HAYSELDEN WH,STATE,BI,320,19.05032561,-155.6222157,NA,NA,NA,NA,NA
7.1,Field 140,HUTCHINSON SUGAR,STATE,BI,442,19.07032708,-155.5972166,NA,NA,NA,NA,NA
9,Punaluu Kahawai,STATE DIV FTRY,STATE,BI,1890,19.24698362,-155.6055497,NA,NA,NA,NA,NA
9.1,Mauna Loa,KAHUKU RANCH,STATE,BI,1890,19.24365061,-155.6105496,NA,NA,NA,NA,NA
9.2,Nene Cabin,Nene Cabin,RAWS,BI,1991.7737,19.2564,-155.6144,NA,NENH1,32D64524,NA,NA
10.1,New Mt House Rd,HUTCHINSON SUGAR,STATE,BI,585,19.12199154,-155.593328,NA,NA,NA,NA,NA
11.2,Haao Springs,HUTCHINSON SUGAR,STATE,BI,823,19.08782636,-155.619438,NA,NA,NA,NA,NA
11.3,Field 450,HUTCHINSON SUGAR,STATE,BI,671,19.10699234,-155.5930502,NA,NA,NA,NA,NA
11.4,Field 350,HUTCHINSON SUGAR,STATE,BI,585,19.08449338,-155.5916613,NA,NA,NA,NA,NA
12,Kaala Iki,KAU SUGAR,STATE,BI,409,19.12532461,-155.5622178,NA,NA,NA,NA,NA
12.1,Hilea,HUTCHINSON SUGAR,STATE,BI,101,19.13365789,-155.5355517,NA,NA,NA,NA,NA
